,dataset,bd,fa,fica,grp,icm,ipca,isomap,ivis,kpca-cos,kpca-pol,kpca-rbf,kpca-sig,lda,lle,lsnmf,mctsne,nmf,nmf2,nsnmf,pca,phate,pmf,saucie,snmf,spca,spca-batch,spectral,srp,tsvd,umap,vasc,vpac,zifa
dbs,TabulaMuris_Bladder_10X,0.669460704025073,0.6684562999178116,0.03634192320629695,0.05262766636087569,0.0015953621628354688,0.6428700764727467,0.4835722275903273,0.6686177579291841,0.6670297772525615,0.6713193410749732,0.0021867374036496326,0.7192981063910306,0.6735255248693786,0.6715901136943001,0.6690871265554047,0.7646594370906626,0.6711519806070613,0.6210646355538194,0.5651273110130818,0.6421898401386672,0.6854703714305938,0.6709369494793308,0.002025039803663876,0.6220251915314511,0.6421898401386672,0.7104801383695211,0.5519843132293064,0.5881714537255195,0.6710637403809966,0.6667915196257432,0.7521767668396859,0.6715733214917099,0.6586719633050689
dbs,TabulaMuris_Bladder_FACS,0.5746237536099479,0.7129211348600475,0.7140017997456569,0.34835736472753903,0.5746237536099479,0.3488598033409348,0.7051407225222466,0.3516506132667777,0.7256157333359738,0.34961451719524245,0.014900691017855974,0.3629861594848279,0.3499765507983627,0.704816323538202,0.5746237536099479,0.7156971529671701,0.5746237536099479,0.3497064230007945,0.35495852833743635,0.3488598033409348,0.7215759165043268,0.3417208885364921,0.0016459765231911195,0.045972470155435326,0.3488598033409348,0.34462457532167845,0.7168387482733589,0.3491386834278733,0.346837888129611,0.709988386564704,0.7236025985554427,0.3367535069250415,0.7243328586999686
dbs,TabulaMuris_Brain_Microglia_FACS,0.07189635639782797,0.2684738436888098,0.22782973801044346,0.2818189195386586,0.0008069771068624638,0.15304440853514525,0.2472942243283563,0.27971075483834285,0.08772214548683249,0.28186628656081125,0.18361716698874814,0.2331484497607803,0.28186628656081125,0.026061442189765444,0.09103079618839427,0.0037578766158601453,0.2473500928006713,0.2655393254643404,0.33400905169758044,0.14807044674224518,0.1988585830254953,0.2532014976872766,0.0037764226139768158,0.2655393254643404,0.1425315867434018,0.01415851788052892,0.02235948942738287,0.036934936675757694,0.27971075483834285,0.27971075483834285,0.4657566437027979,0.054293892989946524,0.11859016716224195
dbs,TabulaMuris_Brain_Neurons_FACS,0.5279919542238234,0.5121115319100701,0.007423641540593088,0.2427680839947093,0.012136691568567035,0.5298993552824887,0.00941783924499792,0.038924370816198636,0.5234589526830006,0.0013075917434084456,0.5629356830176753,0.5373300782140252,0.3921767331357982,0.039998530032117424,0.6014664293762647,0.4156386645495663,0.009644636215907451,0.6529529766060004,0.3156431313071915,0.013823286186056072,0.4279682444620412,0.34203902607104125,0.0010278636826920892,0.004670504041891109,0.5354552658462723,0.3252961494414758,0.4747968230777338,0.2815792780162339,0.2980967942858251,0.3949680247658017,0.4231959998160215,0.5123960356027716,0.5759060530997167
dbs,TabulaMuris_Colon_FACS,0.14389205151116502,0.1135932009629292,0.12480385869209047,0.07917401951908823,0.004318532631012628,0.03399039096346535,0.05589736711191407,0.07628678800024924,0.02024820954659508,0.04599675161856311,0.0010737500682730002,0.07582893440645265,0.03414987135665135,0.07658060784566492,0.028676574190226886,0.12348016470588305,0.07227380991379502,0.04655536973614945,0.03808566065165588,0.03399039096346535,0.07036545563236771,0.038759683322920936,0.0020109813975709807,0.07227380991379502,0.03399039096346535,0.13063341958323715,0.06800794288074344,0.015375200758686447,0.07227380991379502,0.10145561673095813,0.024435745440518176,0.1532642476827508,0.07227185889030935
dbs,TabulaMuris_Fat_FACS,0.005999920001201665,0.006247009712025384,0.0082726863500898,0.014558522364733059,0.4103730067393721,0.11813498709694124,0.0645239251327057,0.1516847653191774,0.11794284753753465,0.20412182816964888,0.11251164063196108,0.05938481662662444,0.4035606725924911,0.004980371094451786,0.11573296957197225,0.3918528163169617,0.4103730067393721,0.13817998594638925,0.17388759953776253,0.008982808588494528,0.5466238454963039,0.008489509776385695,0.001417046342028141,0.4103730067393721,0.015610322152201704,0.007929703402501456,0.15157429130505198,0.14304571985666248,0.017565270803658762,0.005245373441776986,0.6845384734015469,0.3941430649612041,0.6961794342683257
dbs,TabulaMuris_Heart_10X,0.7116534660397943,0.39278311202598254,0.19401170375847104,0.19401170375847104,0.7905189518056801,0.19401170375847104,0.11752951665364506,0.2829327094977705,0.27141065823332783,0.19401170375847104,0.010372631955826188,0.20034536196383346,0.1885819689315183,0.5645954727491971,0.7673893180456977,0.8356859976193508,0.1894947620754905,0.1894947620754905,0.6688400713228962,0.19401170375847104,0.16337307579737512,0.18296414213298065,0.0043416594569289065,0.1894947620754905,0.19401170375847104,0.18296414213298065,0.5617008533924835,0.06383472943902134,0.1894947620754905,0.2112927906831736,0.6302716620700771,0.7575842134188586,0.06267475821171374
dbs,TabulaMuris_Heart_FACS,0.432560063765529,0.36760327117547903,0.03757271627425169,0.0019966039141179922,0.4419388383141011,0.3515174896275293,0.36232897206669984,0.7070825313143692,0.2356263602216404,0.344412950296204,0.3939370117029823,0.008575725069775345,0.3797958555424709,0.01812183291700328,0.5420875884595926,0.07623322245441805,0.00373235016692713,0.3139581812286625,0.38151806749287054,0.3433451237573064,0.005609201253181977,0.3738693313299306,0.0016239186414266154,0.3139581812286625,0.3406404486966821,0.02713275116526433,0.4963723585728133,0.3435716561241477,0.3139581812286625,0.06870080207625939,0.1771575417540079,0.4159936768057287,0.590727233730903
dbs,TabulaMuris_Kidney_10X,0.2849617946910122,0.4787166021940191,0.05049903076923259,0.0029710612154110107,0.011458831625479943,0.0034167393184203554,0.0339466526059111,0.5067801457001614,0.5200383593115699,0.0181103108410006,0.0017893108270866708,0.5235466718950976,0.22274331053753352,0.03339619731114053,0.2483270954826205,0.4198492210673962,0.04464102618801313,0.013313319259706562,0.2488418803881707,0.0029710612154110107,0.5117430506654853,0.139083794942058,0.004258800614016535,0.08117828586922332,0.0036387259404291375,0.011588820395877698,0.4480695445161776,0.010838179890847384,0.011082605029834896,0.4851435559831868,0.3718009160725254,0.24286490048121545,0.4203943234883015
dbs,TabulaMuris_Kidney_FACS,0.00664943756607345,0.561125223057797,0.5954491030324293,0.05563498752875499,0.3638006862284953,0.04043935201213025,0.2012453011926547,0.5620681840576441,0.5630428593610782,0.2855193060329071,0.4151105092203083,0.5455613102982173,0.3288383465229389,0.26508928121960296,0.3757641196586181,0.01788925825780015,0.3638006862284953,0.35372546256959314,0.3837014792587159,0.039143136156482,0.09842497959741008,0.3898771677051257,0.005796739036655407,0.3638006862284953,0.4398625111083794,0.207894047941055,0.2544838582889297,0.060588355283482186,0.27938797397734044,0.020814770724820568,0.011329800723924859,0.3296394883673705,0.5751820608749733
